NotificationID	NotificationTypeID	ProcessID	TimeSpooled	Message	Error	Verbose	Sent	CenterID	Origin	Active
16	23	1	2016-07-19 09:47:48	\nfind /tmp/TarLoad-9-47-MbK6EF/ImagingUpload-9-47-ECpqDw -type f | /data/loris/bin/mri/dicom-archive/get_dicom_info.pl -studyuid -series -echo -image -file -series_descr -attvalue 0018 0024 -stdin | sort -n -k1 -k2 -k6 -k3 -k7 -k4 | grep -iv localizer | cut -f 5 | dcm2mnc -dname '' -stdin -clobber -usecoordinates /tmp/TarLoad-9-47-MbK6EF \n	N	Y	N	\N	MRIProcessingUtility.pm	Y
17	23	1	2016-07-19 09:47:48	\n### These MINC files have been created: \n/tmp/TarLoad-9-47-MbK6EF/living_phantom_dcc_sd_3t2_20090527_102155_3_mri.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
18	20	1	2016-07-19 09:47:48	\nNumber of MINC files that will be considered for inserting into the database: 1\n	N	Y	N	\N	tarchiveLoader	Y
19	23	1	2016-07-19 09:47:48	\nMoving tarchive into library\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
20	23	1	2016-07-19 09:47:48	\nmv /data/loris/data/tarchive/DCM_2009-05-27_ImagingUpload-9-47-ECpqDw.tar /data/loris/data/tarchive/2009/DCM_2009-05-27_ImagingUpload-9-47-ECpqDw.tar\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
21	23	1	2016-07-19 09:47:49	\n==> Loading file from disk /tmp/TarLoad-9-47-MbK6EF/living_phantom_dcc_sd_3t2_20090527_102155_3_mri.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
22	23	1	2016-07-19 09:47:49	\n--> mapping DICOM parameter for /tmp/TarLoad-9-47-MbK6EF/living_phantom_dcc_sd_3t2_20090527_102155_3_mri.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
23	23	1	2016-07-19 09:47:49	\n==> computing md5 hash for MINC body.\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
24	23	1	2016-07-19 09:47:50	\n--> md5: b5dc77a4a883b6636ff57ace68e1e022\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
25	23	1	2016-07-19 09:47:50	\n==> verifying acquisition protocol\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
26	23	1	2016-07-19 09:47:50	\nAcquisition protocol is t2\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
27	23	1	2016-07-19 09:47:50	\nWorst error: pass\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
28	23	1	2016-07-19 09:47:50	\nAcq protocol: t2 - ID: 45\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
29	23	1	2016-07-19 09:47:50	\nFile /tmp/TarLoad-9-47-MbK6EF/living_phantom_dcc_sd_3t2_20090527_102155_3_mri.mnc \nmoved to:\n/data/loris/data/assembly/284119/Living_Phantom_DCC_SD_3t2/mri/native/loris_284119_Living_Phantom_DCC_SD_3t2_t2_001.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
30	23	1	2016-07-19 09:47:50	\nRegistering file into database\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
31	23	1	2016-07-19 09:48:02	\nFileID: 1\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
32	12	1	2016-07-19 09:48:02	\n284119 scanner Living_Phantom_DCC_SD_3t2  acquired 20090527 t2_spc_1mm_p2\n	N	Y	N	\N	minc_insertion.pl	Y
33	11	1	2016-07-19 09:48:16	\n284119 scanner Living_Phantom_DCC_SD_3t2 acquired 2009-05-27\n	N	Y	N	\N	tarchiveLoader	Y
34	20	1	2016-07-19 09:48:16	\n==> Done tarchiveLoader execution!  Removing /tmp/TarLoad-9-47-MbK6EF.\n	N	Y	N	\N	tarchiveLoader	Y
35	22	1	2016-07-19 09:48:16	\nThe insertion scripts have successfully completed\n	N	N	N	\N	imaging_upload_file.pl	Y
36	23	1	2016-07-19 09:48:16	\nThe following file /data/loris/data/tarchive/2009/DCM_2009-05-27_ImagingUpload-9-47-ECpqDw.tar\n was found\n	N	Y	N	\N	ImagingUpload.pm	Y
37	22	1	2016-07-19 09:48:16	\nThe uploaded file /data/incoming/Living_Phantom_DCC_SD_3t2.zip has been removed\n\n	N	N	N	\N	imaging_upload_file.pl	Y
38	22	2	2016-07-19 10:19:43	\nThe candidate info validation has passed \n	N	N	N	\N	imaging_upload_file.pl	Y
39	22	2	2016-07-19 10:19:53	\nThe dicomtar execution has successfully completed\n	N	N	N	\N	imaging_upload_file.pl	Y
40	23	2	2016-07-19 10:19:53	\n==> verifying dicom archive md5sum (checksum)\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
41	23	2	2016-07-19 10:19:53	\n-> checksum for target        :  a71ca2ea8bbc7b76e2d664a627d2ae62\n-> checksum from database :  a71ca2ea8bbc7b76e2d664a627d2ae62\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
42	23	2	2016-07-19 10:19:53	\n==> Verifying acquisition center\n-> Center Name : MTL\n-> CenterID  : 2\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
43	23	2	2016-07-19 10:19:53	\n==> Data found for candidate   : CandID: 300002- PSCID: MTL002- Visit: V2- Acquired : 2009-06-09\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
44	23	2	2016-07-19 10:19:53	\n==> getSubjectIDs returned this CandID/DCCID : 300002\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
45	23	2	2016-07-19 10:19:54	\n==> Getting session ID\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
46	23	2	2016-07-19 10:19:54	\nSessionID: 1189\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
47	23	2	2016-07-19 10:19:54	\nExtracting tarchive /data/loris/data/tarchive/DCM_2009-06-09_ImagingUpload-10-19-97HgfG.tar in /tmp/TarLoad-10-19-QfwCwC \n	N	Y	N	\N	MRIProcessingUtility.pm	Y
48	23	2	2016-07-19 10:19:54	\ncd /tmp/TarLoad-10-19-QfwCwC ; tar -xf /data/loris/data/tarchive/DCM_2009-06-09_ImagingUpload-10-19-97HgfG.tar\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
49	23	2	2016-07-19 10:19:55	\n<STUDY>\n<STUDY_INFO>\n* Unique Study ID          :    1.3.12.2.1107.5.2.32.35182.30000009060914475810900000015\n* Patient Name             :    MTL002_300002_V2\n* Patient ID               :    ibis\n* Patient date of birth    :    1972-10-10\n* Scan Date                :    2009-06-09\n* Patient Sex              :    M\n* Scanner Model Name       :    TrioTim\n* Scanner Software Version :    syngo MR B15\n* Institution Name         :    Childrens Hospital\n* Modality                 :    MR\n\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
50	23	2	2016-07-19 10:19:55	\nExtracting tarchive /data/loris/data/tarchive/DCM_2009-06-09_ImagingUpload-10-19-97HgfG.tar in /tmp/TarLoad-10-19-keiYnd \n	N	Y	N	\N	MRIProcessingUtility.pm	Y
51	23	2	2016-07-19 10:19:55	\ncd /tmp/TarLoad-10-19-keiYnd ; tar -xf /data/loris/data/tarchive/DCM_2009-06-09_ImagingUpload-10-19-97HgfG.tar\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
52	23	2	2016-07-19 10:19:55	\n<STUDY>\n<STUDY_INFO>\n* Unique Study ID          :    1.3.12.2.1107.5.2.32.35182.30000009060914475810900000015\n* Patient Name             :    MTL002_300002_V2\n* Patient ID               :    ibis\n* Patient date of birth    :    1972-10-10\n* Scan Date                :    2009-06-09\n* Patient Sex              :    M\n* Scanner Model Name       :    TrioTim\n* Scanner Software Version :    syngo MR B15\n* Institution Name         :    Childrens Hospital\n* Modality                 :    MR\n\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
53	23	2	2016-07-19 10:20:02	\nfind /tmp/TarLoad-10-19-keiYnd/ImagingUpload-10-19-97HgfG -type f | /data/loris/bin/mri/dicom-archive/get_dicom_info.pl -studyuid -series -echo -image -file -series_descr -attvalue 0018 0024 -stdin | sort -n -k1 -k2 -k6 -k3 -k7 -k4 | grep -iv localizer | cut -f 5 | dcm2mnc -dname '' -stdin -clobber -usecoordinates /tmp/TarLoad-10-19-keiYnd \n	N	Y	N	\N	MRIProcessingUtility.pm	Y
54	23	2	2016-07-19 10:20:02	\n### These MINC files have been created: \n/tmp/TarLoad-10-19-keiYnd/mtl002_300002_v2_20090609_162738_6_mri.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
55	20	2	2016-07-19 10:20:02	\nNumber of MINC files that will be considered for inserting into the database: 1\n	N	Y	N	\N	tarchiveLoader	Y
56	23	2	2016-07-19 10:20:02	\nMoving tarchive into library\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
57	23	2	2016-07-19 10:20:02	\nmv /data/loris/data/tarchive/DCM_2009-06-09_ImagingUpload-10-19-97HgfG.tar /data/loris/data/tarchive/2009/DCM_2009-06-09_ImagingUpload-10-19-97HgfG.tar\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
58	23	2	2016-07-19 10:20:03	\n==> Loading file from disk /tmp/TarLoad-10-19-keiYnd/mtl002_300002_v2_20090609_162738_6_mri.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
59	23	2	2016-07-19 10:20:03	\n--> mapping DICOM parameter for /tmp/TarLoad-10-19-keiYnd/mtl002_300002_v2_20090609_162738_6_mri.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
60	23	2	2016-07-19 10:20:04	\n==> computing md5 hash for MINC body.\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
61	23	2	2016-07-19 10:20:04	\n--> md5: 2e6cde089d70431eedee77c717375ed4\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
62	23	2	2016-07-19 10:20:04	\n==> verifying acquisition protocol\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
63	23	2	2016-07-19 10:20:05	\nAcquisition protocol is dti\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
64	23	2	2016-07-19 10:20:05	\nWorst error: pass\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
65	19	2	2016-07-19 10:20:05	\n  --> The minc file cannot be registered since dti does not exist in prod \n	Y	N	N	\N	minc_insertion	Y
66	15	2	2016-07-19 10:20:05	\n/data/loris/data/tarchive/2009/DCM_2009-06-09_ImagingUpload-10-19-97HgfG.tar acquired 2009-06-09 was deemed invalid\n\n/tmp/TarLoad-10-19-keiYnd/ImagingUpload-10-19-97HgfG\n	Y	N	N	\N	tarchiveLoader	Y
67	20	2	2016-07-19 10:20:05	\n==> LEFTOVERS: 1\n --> Moving leftovers to /data/loris/data/trashbin/TarLoad-10-19-keiYnd\n	Y	N	N	\N	tarchiveLoader	Y
68	20	2	2016-07-19 10:20:06	\n==> Done tarchiveLoader execution!  Removing /tmp/TarLoad-10-19-keiYnd.\n	N	Y	N	\N	tarchiveLoader	Y
69	15	2	2016-07-19 10:20:06	\n No Mincs inserted \n \n	Y	N	N	\N	tarchiveLoader	Y
70	22	2	2016-07-19 10:20:06	\nThe insertion scripts have failed\n	Y	N	N	\N	imaging_upload_file.pl	Y
71	23	2	2016-07-19 10:31:42	\n==> verifying dicom archive md5sum (checksum)\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
72	23	2	2016-07-19 10:31:43	\n-> checksum for target        :  a71ca2ea8bbc7b76e2d664a627d2ae62\n-> checksum from database :  a71ca2ea8bbc7b76e2d664a627d2ae62\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
73	23	2	2016-07-19 10:31:43	\n==> Verifying acquisition center\n-> Center Name : MTL\n-> CenterID  : 2\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
74	23	2	2016-07-19 10:31:43	\n==> Data found for candidate   : CandID: 300002- PSCID: MTL002- Visit: V2- Acquired : 2009-06-09\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
75	23	2	2016-07-19 10:31:43	\n==> getSubjectIDs returned this CandID/DCCID : 300002\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
76	23	2	2016-07-19 10:31:43	\n==> Getting session ID\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
77	23	2	2016-07-19 10:31:43	\nSessionID: 1189\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
78	23	2	2016-07-19 10:31:43	\nExtracting tarchive /data/loris/data/tarchive/2009/DCM_2009-06-09_ImagingUpload-10-19-97HgfG.tar in /tmp/TarLoad-10-31-Q0lZaC \n	N	Y	N	\N	MRIProcessingUtility.pm	Y
79	23	2	2016-07-19 10:31:43	\ncd /tmp/TarLoad-10-31-Q0lZaC ; tar -xf /data/loris/data/tarchive/2009/DCM_2009-06-09_ImagingUpload-10-19-97HgfG.tar\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
80	23	2	2016-07-19 10:31:44	\n<STUDY>\n<STUDY_INFO>\n* Unique Study ID          :    1.3.12.2.1107.5.2.32.35182.30000009060914475810900000015\n* Patient Name             :    MTL002_300002_V2\n* Patient ID               :    ibis\n* Patient date of birth    :    1972-10-10\n* Scan Date                :    2009-06-09\n* Patient Sex              :    M\n* Scanner Model Name       :    TrioTim\n* Scanner Software Version :    syngo MR B15\n* Institution Name         :    Childrens Hospital\n* Modality                 :    MR\n\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
81	23	2	2016-07-19 10:31:44	\nExtracting tarchive /data/loris/data/tarchive/2009/DCM_2009-06-09_ImagingUpload-10-19-97HgfG.tar in /tmp/TarLoad-10-31-a3smdr \n	N	Y	N	\N	MRIProcessingUtility.pm	Y
82	23	2	2016-07-19 10:31:44	\ncd /tmp/TarLoad-10-31-a3smdr ; tar -xf /data/loris/data/tarchive/2009/DCM_2009-06-09_ImagingUpload-10-19-97HgfG.tar\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
83	23	2	2016-07-19 10:31:45	\n<STUDY>\n<STUDY_INFO>\n* Unique Study ID          :    1.3.12.2.1107.5.2.32.35182.30000009060914475810900000015\n* Patient Name             :    MTL002_300002_V2\n* Patient ID               :    ibis\n* Patient date of birth    :    1972-10-10\n* Scan Date                :    2009-06-09\n* Patient Sex              :    M\n* Scanner Model Name       :    TrioTim\n* Scanner Software Version :    syngo MR B15\n* Institution Name         :    Childrens Hospital\n* Modality                 :    MR\n\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
84	23	2	2016-07-19 10:31:51	\nfind /tmp/TarLoad-10-31-a3smdr/ImagingUpload-10-19-97HgfG -type f | /data/loris/bin/mri/dicom-archive/get_dicom_info.pl -studyuid -series -echo -image -file -series_descr -attvalue 0018 0024 -stdin | sort -n -k1 -k2 -k6 -k3 -k7 -k4 | grep -iv localizer | cut -f 5 | dcm2mnc -dname '' -stdin -clobber -usecoordinates /tmp/TarLoad-10-31-a3smdr \n	N	Y	N	\N	MRIProcessingUtility.pm	Y
85	23	2	2016-07-19 10:31:51	\n### These MINC files have been created: \n/tmp/TarLoad-10-31-a3smdr/mtl002_300002_v2_20090609_162738_6_mri.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
86	20	2	2016-07-19 10:31:51	\nNumber of MINC files that will be considered for inserting into the database: 1\n	N	Y	N	\N	tarchiveLoader	Y
87	23	2	2016-07-19 10:31:52	\n==> Loading file from disk /tmp/TarLoad-10-31-a3smdr/mtl002_300002_v2_20090609_162738_6_mri.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
88	23	2	2016-07-19 10:31:52	\n--> mapping DICOM parameter for /tmp/TarLoad-10-31-a3smdr/mtl002_300002_v2_20090609_162738_6_mri.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
89	23	2	2016-07-19 10:31:52	\n==> computing md5 hash for MINC body.\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
90	23	2	2016-07-19 10:31:53	\n--> md5: 2e6cde089d70431eedee77c717375ed4\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
91	23	2	2016-07-19 10:31:53	\n==> verifying acquisition protocol\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
92	23	2	2016-07-19 10:31:53	\nAcquisition protocol is dti\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
93	23	2	2016-07-19 10:31:53	\nWorst error: pass\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
94	23	2	2016-07-19 10:31:53	\nAcq protocol: dti - ID: 48\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
95	23	2	2016-07-19 10:31:53	\nFile /tmp/TarLoad-10-31-a3smdr/mtl002_300002_v2_20090609_162738_6_mri.mnc \nmoved to:\n/data/loris/data/assembly/300002/V2/mri/native/loris_300002_V2_dti_001.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
96	23	2	2016-07-19 10:31:53	\nRegistering file into database\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
97	23	2	2016-07-19 10:31:55	\nFileID: 2\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
98	12	2	2016-07-19 10:31:55	\n300002 MTL002 V2 acquired 20090609 ep2d_dif  25dir av1\n	N	Y	N	\N	minc_insertion.pl	Y
99	11	2	2016-07-19 10:31:59	\n300002 MTL002 V2 acquired 2009-06-09\n	N	Y	N	\N	tarchiveLoader	Y
100	20	2	2016-07-19 10:31:59	\n==> Done tarchiveLoader execution!  Removing /tmp/TarLoad-10-31-a3smdr.\n	N	Y	N	\N	tarchiveLoader	Y
101	22	3	2016-07-21 12:38:22	\nThe candidate info validation has passed \n	N	N	N	\N	imaging_upload_file.pl	Y
102	22	3	2016-07-21 12:38:39	\nThe dicomtar execution has successfully completed\n	N	N	N	\N	imaging_upload_file.pl	Y
103	23	3	2016-07-21 12:38:40	\n==> verifying dicom archive md5sum (checksum)\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
104	23	3	2016-07-21 12:38:40	\n-> checksum for target        :  5a2ecb2779bf8e8cf07bb50b995682a7\n-> checksum from database :  5a2ecb2779bf8e8cf07bb50b995682a7\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
105	23	3	2016-07-21 12:38:40	\n==> Verifying acquisition center\n-> Center Name : DCC\n-> CenterID  : 1\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
106	23	3	2016-07-21 12:38:40	\n==> Data found for candidate   : CandID: 284119- PSCID: scanner- Visit: Living_Phantom_DCC_SD_3dwi- Acquired : 2009-05-27\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
107	23	3	2016-07-21 12:38:40	\n==> getSubjectIDs returned this CandID/DCCID : 284119\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
108	23	3	2016-07-21 12:38:40	\n==> Getting session ID\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
109	23	3	2016-07-21 12:38:40	\nSessionID: 2139\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
110	23	3	2016-07-21 12:38:40	\nExtracting tarchive /data/loris/data/tarchive/DCM_2009-05-27_ImagingUpload-12-38-rvEl5_.tar in /tmp/TarLoad-12-38-nOPNWm \n	N	Y	N	\N	MRIProcessingUtility.pm	Y
111	23	3	2016-07-21 12:38:40	\ncd /tmp/TarLoad-12-38-nOPNWm ; tar -xf /data/loris/data/tarchive/DCM_2009-05-27_ImagingUpload-12-38-rvEl5_.tar\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
112	23	3	2016-07-21 12:38:43	\n<STUDY>\n<STUDY_INFO>\n* Unique Study ID          :    1.2.840.113745.101000.1022000.39911.6153.5242769\n* Patient Name             :    Living_Phantom_DCC_SD_3dwi\n* Patient ID               :    D568405\n* Patient date of birth    :    1972-10-10\n* Scan Date                :    2009-05-27\n* Patient Sex              :    M\n* Scanner Model Name       :    TrioTim\n* Scanner Software Version :    syngo MR B15\n* Institution Name         :    Children's Hospital of Philadelphia-MR1\n* Modality                 :    MR\n\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
113	23	3	2016-07-21 12:38:43	\nExtracting tarchive /data/loris/data/tarchive/DCM_2009-05-27_ImagingUpload-12-38-rvEl5_.tar in /tmp/TarLoad-12-38-2zkSRR \n	N	Y	N	\N	MRIProcessingUtility.pm	Y
114	23	3	2016-07-21 12:38:44	\ncd /tmp/TarLoad-12-38-2zkSRR ; tar -xf /data/loris/data/tarchive/DCM_2009-05-27_ImagingUpload-12-38-rvEl5_.tar\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
115	23	3	2016-07-21 12:38:45	\n<STUDY>\n<STUDY_INFO>\n* Unique Study ID          :    1.2.840.113745.101000.1022000.39911.6153.5242769\n* Patient Name             :    Living_Phantom_DCC_SD_3dwi\n* Patient ID               :    D568405\n* Patient date of birth    :    1972-10-10\n* Scan Date                :    2009-05-27\n* Patient Sex              :    M\n* Scanner Model Name       :    TrioTim\n* Scanner Software Version :    syngo MR B15\n* Institution Name         :    Children's Hospital of Philadelphia-MR1\n* Modality                 :    MR\n\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
116	23	3	2016-07-21 12:38:57	\nfind /tmp/TarLoad-12-38-2zkSRR/ImagingUpload-12-38-rvEl5_ -type f | /data/loris/bin/mri/dicom-archive/get_dicom_info.pl -studyuid -series -echo -image -file -series_descr -attvalue 0018 0024 -stdin | sort -n -k1 -k2 -k6 -k3 -k7 -k4 | grep -iv localizer | cut -f 5 | dcm2mnc -dname '' -stdin -clobber -usecoordinates /tmp/TarLoad-12-38-2zkSRR \n	N	Y	N	\N	MRIProcessingUtility.pm	Y
117	23	3	2016-07-21 12:38:57	\n### These MINC files have been created: \n/tmp/TarLoad-12-38-2zkSRR/living_phantom_dcc_sd_3dwi_20090527_102155_4_mri.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
118	20	3	2016-07-21 12:38:57	\nNumber of MINC files that will be considered for inserting into the database: 1\n	N	Y	N	\N	tarchiveLoader	Y
119	23	3	2016-07-21 12:38:57	\nMoving tarchive into library\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
120	23	3	2016-07-21 12:38:57	\nmv /data/loris/data/tarchive/DCM_2009-05-27_ImagingUpload-12-38-rvEl5_.tar /data/loris/data/tarchive/2009/DCM_2009-05-27_ImagingUpload-12-38-rvEl5_.tar\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
121	23	3	2016-07-21 12:38:58	\n==> Loading file from disk /tmp/TarLoad-12-38-2zkSRR/living_phantom_dcc_sd_3dwi_20090527_102155_4_mri.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
122	23	3	2016-07-21 12:38:59	\n--> mapping DICOM parameter for /tmp/TarLoad-12-38-2zkSRR/living_phantom_dcc_sd_3dwi_20090527_102155_4_mri.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
123	23	3	2016-07-21 12:38:59	\n==> computing md5 hash for MINC body.\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
124	23	3	2016-07-21 12:39:00	\n--> md5: aeda7ca8cc0d7b6a9607e142928f34b3\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
125	23	3	2016-07-21 12:39:00	\n==> verifying acquisition protocol\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
126	23	3	2016-07-21 12:39:00	\nAcquisition protocol is dti\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
127	23	3	2016-07-21 12:39:00	\nWorst error: pass\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
128	23	3	2016-07-21 12:39:00	\nAcq protocol: dti - ID: 48\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
129	23	3	2016-07-21 12:39:01	\nFile /tmp/TarLoad-12-38-2zkSRR/living_phantom_dcc_sd_3dwi_20090527_102155_4_mri.mnc \nmoved to:\n/data/loris/data/assembly/284119/Living_Phantom_DCC_SD_3dwi/mri/native/loris_284119_Living_Phantom_DCC_SD_3dwi_dti_001.mnc\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
130	23	3	2016-07-21 12:39:01	\nRegistering file into database\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
131	23	3	2016-07-21 12:39:02	\nFileID: 3\n	N	Y	N	\N	MRIProcessingUtility.pm	Y
